sample_index,sensor_3_m,sensor_5_m,m_from_sensor_5_m,n_from_sensor_3_m,input_odin_x_m,input_odin_y_m,input_odin_yaw_rad,corrected_x_m,corrected_y_m,corrected_yaw_rad,error_x_m,error_y_m
1,0.151,0.294,0.294,0.151,0.5220511929954424,0.596655375340947,1.58407439019125,0.9429432415649097,0.6329275173716115,1.58407439019125,0.42089204856946727,0.03627214203066442
2,0.619,0.313,0.313,0.619,0.9958670803036801,0.6209450530654145,1.6299245564890423,0.9325486395073488,0.6351552995950525,1.6299245564890423,-0.06331844079633131,0.014210246529637982
3,0.671,0.377,0.377,0.671,0.9971211092330307,0.6241845460243395,1.964620555863437,0.7765320672085007,0.6356731083857807,1.964620555863437,-0.22058904202453,0.011488562361441246
4,0.666,0.316,0.316,0.666,1.0041161698622174,0.6058092949662541,1.3357550377808811,0.9635478452656444,0.5696370895807401,1.3357550377808811,-0.040568324596573,-0.03617220538551402
5,0.584,0.513,0.513,0.584,0.9628911215864235,0.8160013975347409,1.5761974664906053,0.9431542542286967,0.6253192146030502,1.5761974664906053,-0.01973686735772684,-0.1906821829316907
6,0.591,0.545,0.545,0.591,0.9577860806209866,0.8256796857524813,1.8046298389774793,0.822417175897935,0.6614570896661933,1.8046298389774793,-0.13536890472305163,-0.16422259608628798
7,0.613,0.525,0.525,0.613,0.9583733388591684,0.8125900022351341,1.3671140999838145,1.006454520844473,0.5680670789064415,1.3671140999838145,0.048081181985304644,-0.24452292332869263
8,0.496,0.868,0.868,0.496,0.8649246517955107,1.169318334508497,1.574747902150997,0.9423190256717663,0.6253206033610538,1.574747902150997,0.07739437387625558,-0.5439977311474432
9,0.498,0.908,0.908,0.498,0.8614093684973019,1.175005716368457,1.8102819174207985,0.7327569442973031,0.6839804414568434,1.8102819174207985,-0.12865242419999878,-0.49102527491161363
10,0.872,0.865,0.865,0.872,1.2494054176979952,1.1787515346876924,1.6145737710990717,0.9120063002002414,0.6214046625629753,1.6145737710990717,-0.33739911749775375,-0.5573468721247171
11,0.839,0.604,0.604,0.839,1.2145429937899346,0.9193709179696581,1.5978330529855829,0.9319879295102972,0.6234385918701686,1.5978330529855829,-0.2825550642796374,-0.2959323260994895
12,0.797,0.349,0.349,0.797,1.1762651009068024,0.6635021269315245,1.615905343129044,0.9342354999370587,0.6246883883676303,1.615905343129044,-0.24202960096974369,-0.03881373856389425
13,0.784,0.214,0.214,0.784,1.165286241923292,0.5358912095915734,1.6261320823404528,0.9389376795684076,0.6253817259906954,1.6261320823404528,-0.22634856235488454,0.08949051639912198
14,0.766,0.114,0.114,0.766,1.1490968376282362,0.43468417692984673,1.6403081223838232,0.9438003850966584,0.6266722460240554,1.6403081223838232,-0.2052964525315778,0.19198806909420862
15,0.774,0.123,0.123,0.774,1.1497746198521173,0.4350661816568018,1.73243156177925,0.9333991940897183,0.6242331616808445,1.73243156177925,-0.216375425762399,0.18916698002404275
16,0.82,0.114,0.114,0.82,1.148763550951018,0.4240814977600239,1.3358507915626399,0.916527630611821,0.6055155507521672,1.3358507915626399,-0.23223592033919693,0.18143405299214332
17,0.207,0.175,0.175,0.207,0.566053033143523,0.48230650882150594,1.5943345860490452,0.943840726353709,0.6384145740876503,1.5943345860490452,0.377787693210186,0.1561080652661444
18,0.205,0.185,0.185,0.205,0.5670922562606351,0.4836039443759522,1.7337890366279263,0.9231348087979705,0.7164984875730906,1.7337890366279263,0.3560425525373354,0.23289454319713843
19,0.156,0.378,0.378,0.156,0.5169103621201269,0.6791424208553686,1.6041886622932704,0.9363142623067213,0.6460379922874419,1.6041886622932704,0.41940390018659446,-0.033104428567926725
20,0.15,0.392,0.392,0.15,0.5125158206688598,0.6831721746854817,1.7438054794175366,0.8853331593482014,0.7310526111792934,1.7438054794175366,0.37281733867934164,0.047880436493811684
21,0.185,0.656,0.656,0.185,0.539131442263871,0.9601580497603747,1.5965220939450933,0.9313096208440239,0.6403001949111532,1.5965220939450933,0.3921781785801529,-0.31985785484922147
22,0.297,0.21,0.21,0.297,0.6712883870875341,0.5191475501513839,1.634768156877637,0.9379469336733524,0.6565542834280035,1.634768156877637,0.2666585465858182,0.13740673327661956
