ample_index,ros_time_s,unix_time_s,sensor_0_mm,sensor_1_mm,sensor_2_mm,sensor_3_mm,sensor_4_mm,sensor_5_mm,sensor_6_mm,sensor_7_mm,odin_frame_id,odin_stamp_s,odin_x_m,odin_y_m,odin_z_m,odin_qx,odin_qy,odin_qz,odin_qw,odin_yaw_rad,odin_pose_age_s
1,1783271991.7498636,1783271991.7499316,36.0,6095.0,46.0,151.0,46.0,294.0,23.0,nan,map,18428.034903834,0.5220511929954424,0.596655375340947,0.021693422824506772,0.013901332302883674,-0.009092848035572941,0.7117251133168222,0.7022616578946649,1.58407439019125,0.009517431259155273
2,1783272001.66464,1783272001.6646879,37.0,6107.0,44.0,619.0,47.0,313.0,17.0,3344.0,map,18437.948026955,0.9958670803036801,0.6209450530654145,0.021211748631703182,0.01696344833481265,-0.004936944143215361,0.7276729306626635,0.685696706995104,1.6299245564890423,0.0037140846252441406
3,1783272007.9322517,1783272007.9322903,38.0,5499.0,45.0,671.0,47.0,377.0,13.0,2039.0,map,18444.239252837,0.9971211092330307,0.6241845460243395,0.020384673517516806,0.019826513374034124,-0.001710331051280357,0.8317100989451363,0.5548533999605625,1.964620555863437,0.002064943313598633
4,1783272015.0931118,1783272015.0931559,38.0,831.0,45.0,666.0,47.0,316.0,21.0,4506.0,map,18451.377521721,1.0041161698622174,0.6058092949662541,0.02074486936021234,0.015099209467500546,-0.008183473049696884,0.6193136743131898,0.784955806049613,1.3357550377808811,0.0031061172485351562
5,1783272022.6517472,1783272022.6517816,40.0,5872.0,45.0,584.0,46.0,513.0,13.0,3369.0,map,18458.960685358,0.9628911215864235,0.8160013975347409,0.01847100205500736,0.018168409371429772,-0.006536754221561153,0.7089824927299497,0.7049617044546361,1.5761974664906053,0.0018353462219238281
6,1783272027.6653259,1783272027.6654027,46.0,2038.0,46.0,591.0,47.0,545.0,12.0,1971.0,map,18463.949945609,0.9577860806209866,0.8256796857524813,0.019476114350265698,0.019704293631170926,-0.0039100448262851,0.7847068083275898,0.6195415057332966,1.8046298389774793,0.005200386047363281
7,1783272033.8397188,1783272033.8397667,46.0,2343.0,46.0,613.0,45.0,525.0,15.0,5106.0,map,18470.133149897,0.9583733388591684,0.8125900022351341,0.01933950814992698,0.0161494600354037,-0.008651330339017996,0.6315414280426382,0.7751256505172535,1.3671140999838145,0.009465694427490234
8,1783272046.0190117,1783272046.0190408,44.0,5505.0,45.0,496.0,46.0,868.0,13.0,2010.0,map,18482.303417245,0.8649246517955107,1.169318334508497,0.016572823347705254,0.017102945452069192,-0.006484059702265609,0.7084720448062126,0.7055018128642513,1.574747902150997,0.008395671844482422
9,1783272054.0014534,1783272054.0015008,42.0,4709.0,45.0,498.0,47.0,908.0,14.0,2065.0,map,18490.271183712,0.8614093684973019,1.175005716368457,0.01703829802700672,0.018559887634009252,-0.004141996884746125,0.7864569231238039,0.6173523163506061,1.8102819174207985,0.0010895729064941406
10,1783272065.473263,1783272065.4733024,40.0,5534.0,49.0,872.0,45.0,865.0,20.0,1622.0,map,18501.772992535,1.2494054176979952,1.1787515346876924,0.015342207319254345,0.016506924325209612,-0.006116493064500919,0.7223800238960911,0.6912721685687891,1.6145737710990717,0.002979278564453125
